Substance 1,Substance 2,Result,Reason
FERRIC CHLORIDE,CHROMIUM,Incompatible,"F
G
R1
R3
-----

H2
*****


Acids, Strong Non-oxidizing WITH Metals, Elemental and Powder, Active:

   Hydrochloric, hydrobromic, and hydroiodic acids react with nearly all non-noble metals and alloys, dissolving the metal and producing flammable hydrogen gas (Austin, S., A. Glowacki. 2000. Hydrochloric Acid. Ullmann’s Encyclopedia of Industrial Chemistry. Wiley-VCH Verlag GmbH & Co. KGaA. (Online); Ukeles, S.D., M. Freiberg. 2004. Bromine, Inorganic Compounds. Kirk-Othmer Encyclopedia of Chemical Technology. John Wiley & Sons, Inc. (Online); Lyday, P. A. 2000. Iodine and Iodine Compounds. Ullmann's Encyclopedia of Industrial Chemistry. (Online)). 

   Ca reacts violently with acids, evolving flammable H2 gas, which may be ignited by reaction heat (Mellor, J.W. 1967. Mellor’s Modern Inorganic Chemistry, 6th Edition. John Wiley & Sons, Inc. pp. 695; Product Information Sheet No. 212. Sandwich, Pfizer Chemicals. 1969). 

   Mg reacts with mineral acids, evolving flammable H2 gas (Mellor, J.W. 1967. Mellor’s Modern Inorganic Chemistry, 6th Edition. John Wiley & Sons, Inc. pp. 689).

   Chromium reacts with HCl, evolving flammable H2 gas (Mellor, J.W. 1967. Mellor’s Modern Inorganic Chemistry, 6th Edition. John Wiley & Sons, Inc. pp. 886).

   Iron reacts with HCl, evolving flammable H2 gas (Mellor, J.W. 1967. Mellor’s Modern Inorganic Chemistry, 6th Edition. John Wiley & Sons, Inc. pp. 915).

   Reaction of zinc and acid solutions slowly evolves flammable H2 gas (Goodwin, F.E. 2006. Zinc and Zinc Alloys. In Kirk-Othmer Encyclopedia of Chemical Technology. John Wiley & Sons, Inc. (Online)).

   Magnesium ignites on contact with HI (Mellor, J.W. 1941. Mellor’s Comprehensive Treatise on Inorganic and Theoretical Chemistry. Vol. 2, p. 206. Longmans, Green and Co Ltd). 

   HCl reacts violently and exothermically with aluminum (Urben, P.G. 1995. Bretherick’s Handbook of Reactive Chemical Hazards, 5th Edition. Oxford: Butterworth-Heinemann. pp. 29). "
FERRIC CHLORIDE,D-MANNITOL,Caution,"R1

-----


*****


Acids, Strong Non-oxidizing WITH Alcohols and Polyols:

   Strong acids can catalyze the exothermic dehydration of secondary or tertiary alcohols to alkenes (Loudon, Marc. 2002. Organic Chemistry. 4th ed. New York: Oxford University Press. p. 408-410).

   Alcohols react with hydrogen halides to give alkyl halides. This reaction is rapid and exothermic at room temperature for tertiary alcohols (Loudon, Marc. 2002. Organic Chemistry. 4th ed. New York: Oxford University Press. p. 411-413).

   Depending on concentrations, noticeable heat can be generated from the heat of dilution from adding a strong acid to an alcohol."
FERRIC CHLORIDE,DICHLOROMETHANE,Caution,"G
R1
R3
T
-----

Acid Fumes
HX

*****


Acids, Strong Non-oxidizing WITH Halogenated Organic Compounds:

   HCl can react violently with F2C=CH2 (vinylidine difluoride), even at -40 C, causing rapid decomposition and pressurization, including evolution of highly toxic HF gas. The reaction is catalyzed by AlCl3, which is commonly found as an impurity in HCl solution (Jensen, J.H. 1981. Chemical and Engineering News 59(14): 3, 59.). In this case, reactivity is due to vinyl group and not the halogenated part of molecule.

   Halogenated organics may release toxic HF, HCl, HBr, and/or HI gases upon exposure to acids (predicted). 
"
FERRIC CHLORIDE,ETHANE,Compatible,"NR
-----


*****


Acids, Strong Non-oxidizing WITH Hydrocarbons, Aliphatic Saturated:

   No evidence was found for a hazardous reaction between these reactive groups."
FERRIC CHLORIDE,ETHANOL,Caution,"R1

-----


*****


Acids, Strong Non-oxidizing WITH Alcohols and Polyols:

   Strong acids can catalyze the exothermic dehydration of secondary or tertiary alcohols to alkenes (Loudon, Marc. 2002. Organic Chemistry. 4th ed. New York: Oxford University Press. p. 408-410).

   Alcohols react with hydrogen halides to give alkyl halides. This reaction is rapid and exothermic at room temperature for tertiary alcohols (Loudon, Marc. 2002. Organic Chemistry. 4th ed. New York: Oxford University Press. p. 411-413).

   Depending on concentrations, noticeable heat can be generated from the heat of dilution from adding a strong acid to an alcohol."
FERRIC CHLORIDE,ETHYLENE,Incompatible,"R1
R3
R4
R1
R3
R4
-----



*****


Acids, Strong Non-oxidizing WITH Hydrocarbons, Aliphatic Unsaturated:

   Addition of mineral acids to alkenes can result in exothermic alkene-addition reactions, forming alkyl halides in the case of hydrohalic acids (Loudon, Marc. 2002. Organic Chemistry. 4th ed. New York: Oxford University Press. p. 134).

   Strong acids can initiate the exothermic polymerization of olefins. These reactions can be violent (Rich, G. A., 1993, Dangerous Chemical Reactions, Gulf Publishing Co., Houston, TX, p. 244). 


Acids, Strong Non-oxidizing WITH Polymerizable Compounds:

   Polymerizable:  Materials, commonly called monomers, that have the capability to undergo thermally induced or chemically initiated radical type polymerization reactions, which could generate significant amounts of heat (up to -100 kJ/mol) and pressure due to decomposition and formation of gas byproducts.  These monomers are mainly the vinyl monomers common to the chemical industry such as styrene and its derivatives (including divinyl benzene), acrylamide and its derivatives, butadiene, acrylonitrile, vinyl acetate, and others.  Also included here are the acrylates and acrylic acid derivatives but note that these materials are also captured in this tool in a separate and distinct category due to their unique hazards and their high volume of use in the industry.

   These materials typically are inhibited with low ppm levels of antioxidants (inhibitors) to prevent premature polymerization chain reactions.  Many of these inhibitors require dissolved oxygen to be effective.  Inhibitor depletion is a function of time and temperature, with higher temperatures increasing depletion rates.  These materials are known to be susceptible to destabilization due to low ppm levels of contaminants.  Radical generating contaminants such as peroxides and azides are known to initiate monomer polymerization; however, the effects of seemingly benign materials are harder to predict.  Therefore, extreme caution should be used in any contamination event. And the material should be presumed to be destabilized until testing and consultation with experts.  Uncontrolled polymerization reactions can become adiabatic and lead to a serious runaway reaction with high temperatures and pressures.  The general hazards of monomers are discussed in Frurip et al., Process Safety Progress (Vol. 14, No. 2) 1995.
"
FERRIC CHLORIDE,ETHYLENE GLYCOL,Caution,"R1

-----


*****


Acids, Strong Non-oxidizing WITH Alcohols and Polyols:

   Strong acids can catalyze the exothermic dehydration of secondary or tertiary alcohols to alkenes (Loudon, Marc. 2002. Organic Chemistry. 4th ed. New York: Oxford University Press. p. 408-410).

   Alcohols react with hydrogen halides to give alkyl halides. This reaction is rapid and exothermic at room temperature for tertiary alcohols (Loudon, Marc. 2002. Organic Chemistry. 4th ed. New York: Oxford University Press. p. 411-413).

   Depending on concentrations, noticeable heat can be generated from the heat of dilution from adding a strong acid to an alcohol."
"FERROUS METAL BORINGS, SHAVINGS, TURNINGS OR CUTTINGS",ACETYLENE,Incompatible,"C
E
F
R1
R3
-----


*****


Metals, Elemental and Powder, Active WITH Alkynes, with Acetylenic Hydrogen:

   Acetylenic compounds with replaceable acetylenically bound hydrogen atoms must be kept out of contact with copper, silver, magnesium, mercury, or alloys containing them, to avoid formation of explosive metal acetylides (“Chemical Intermediates”, 1972 Catalogue, 158, Tamaqua (Pa.), Air Products and Chemicals Inc., 1972; Dangerous Substances: Guidance on Fires and Spillages, London, HMSO, 1972, Sect. 1, p. 27).

   Powdered cobalt incandescently decomposes acetylene on contact, posing a fire hazard (J. W. Mellor, 1942. Mellor’s Comprehensive Treatise on Inorganic and Theoretical Chemistry. Vol. 14, pp. 513. Longmans, Green and Co Ltd.)."
"FERROUS METAL BORINGS, SHAVINGS, TURNINGS OR CUTTINGS",ALUMINUM OXIDE,Incompatible,"F
R1
R3
-----


*****


Metals, Elemental and Powder, Active WITH Non-Redox-Active Inorganic Compounds:

   Mixtures of powdered electropositive metals (such as aluminum, magnesium, titanium, zinc, or zirconium) with certain metal oxides (such as those of iron, barium, chromium, cobalt, copper, manganese, molybdenum, lead, vanadium, nickel, or silicon) react explosively and at extremely high temperatures once ignited. These mixtures are called thermites (P. J. Roebuck, Educ. Chem., 1979, 16, 178-9; G. V. Ivanov, et al., Chem. Abs., 1979, 91, 76323; M. B. Ismailov, et al., Fizika Goreniya i Vzryva, 1992, 28(1), 46; J. W. Mellor, 1961. Mellor’s Comprehensive Treatise on Inorganic and Theoretical Chemistry. Vol. 7, pp. 20. Longmans, Green and Co Ltd.; J. W. Mellor, 1940. Mellor’s Comprehensive Treatise on Inorganic and Theoretical Chemistry. Vol. 4, pp. 272. Longmans, Green and Co Ltd.; J. R. Partington, 1967, General and Inorganic Chemistry, London, MacMillan, 4th ed., p. 364; Pascal, P. 1958. Nouveau Traité de Chimie Minérale. Vol. 4, p. 775. Masson et Cie.).

   Neutral solutions of salts of heavy metals such as nickel, iron, and copper are corrosive to magnesium alloys. The metals in the salts are reduced, and the resulting powders can be pyrophoric (Aune, T. K., et al. 2003. Magnesium Alloys. Ullmann's Encyclopedia of Industrial Chemistry. (Online)).

   Zinc can ignite on contact with ammonium chloride, if water is present (G. Sorbe, 1968, Giftige und Explosive Substanzen, Frankfurt, Umschau Verlag, pp. 158; Hanson, R.M. 1976. Journal of Chemical Education 53:578).

   Aluminum can react violently with AgCl if the silver chloride is in excess (Anon. 1954. Chemical and Engineering News 32:258; J. W. Mellor, 1946. Mellor’s Comprehensive Treatise on Inorganic and Theoretical Chemistry. Vol. 3, pp. 402. Longmans, Green and Co Ltd.)."
"FERROUS METAL BORINGS, SHAVINGS, TURNINGS OR CUTTINGS","ALUMINUM POWDER, UNCOATED",Compatible,"NR

-----


*****


Metals, Elemental and Powder, Active WITH Metals, Elemental and Powder, Active:

   No major incompatibilities were found at room temperature. However, some hazardous reactions occur when heated: 

   Powdered aluminum reacts violently on heating with antimony (Matignon, C., Compt. rend., 1900, 130, 1393).

   Aluminum reacts very violently with silicon-containing steels (J. R. Partington, 1967, General and Inorganic Chemistry, London, MacMillan, 4th ed., p. 418).

   Selenium reacts with incandescence upon gentle heating with a number of metals, including nickel, sodium, potassium, and zinc. (J. W. Mellor, 1942. Mellor’s Comprehensive Treatise on Inorganic and Theoretical Chemistry. Vol. 15, pp. 151. Longmans, Green and Co Ltd.; J. W. Mellor, 1947. Mellor’s Comprehensive Treatise on Inorganic and Theoretical Chemistry. Vol. 10, pp. 766-777. Longmans, Green and Co Ltd.; J. W. Mellor, 1940. Mellor’s Comprehensive Treatise on Inorganic and Theoretical Chemistry. Vol. 4, pp. 480. Longmans, Green and Co Ltd.)"
"FERROUS METAL BORINGS, SHAVINGS, TURNINGS OR CUTTINGS","AMMONIA, ANHYDROUS",Incompatible,"C
E
F
G
R1
-----

H2
*****


Metals, Elemental and Powder, Active WITH Bases, Weak:

   Solutions of calcium or magnesium metal in liquid ammonia act as powerful reducing agents (“solvated electrons”) that slowly decompose to form hydrogen gas and strongly basic and explosive metal amide salts, which precipitate out of solution (E. M. Kaiser, Synthesis, 1972, (8), p. 391-415; W.C. Fernelius and G.W. Watt, Chem. Rev. 1937, 20, 195-258; Eggeman, T. 2001. Ammonia. In Kirk-Othmer Encyclopedia of Chemical Technology. John Wiley & Sons, Inc. (Online)).

   Heated uranium incandesces in ammonia (J. W. Mellor, 1942. Mellor’s Comprehensive Treatise on Inorganic and Theoretical Chemistry. Vol. 12, pp. 31. Longmans, Green and Co Ltd.)."
"FERROUS METAL BORINGS, SHAVINGS, TURNINGS OR CUTTINGS",ARGON,Caution,"F
R1
-----


*****


Metals, Elemental and Powder, Active WITH Not Chemically Reactive:

   Magnesium can react with nitrogen to form the unstable compound magnesium nitride (Mg3N2). If sufficient nitrogen is present this reaction can be self-sustaining. The nitride produced can react with water to form ammonia (Kramer, D. A. 2010. Magnesium and Magnesium Alloys. Kirk-Othmer Encyclopedia of Chemical Technology. 1–55. (Online)).

   Nitrogen, carbon dioxide, and halons (chlorofluorocarbon refrigerants) will react with molten magnesium (Amundsen, K., et al. 2003. Magnesium. Ullmann's Encyclopedia of Industrial Chemistry. (Online)).

   Many powdered metals, including magnesium, zirconium, titanium, magnesium-aluminum alloy, aluminum, chromium, and manganese, are ignitable and explosive when suspended in a carbon dioxide atmosphere (Hartmann, I., Ind. Eng. Chem., 1948, 40, p. 756; Rhein, R. A., Report No. CR-60125, Washington, NASA, 1964; Guntz, A. et al, Compt. Rendus, 1897, 124, 187-190).

   Magnesium and aluminum form flammable mixtures with finely divided polytetrafluoroethylene (Teflon) (Anon. 1969. Indust. Res. (9):15; Pittaluga, F. et al., Termotechnica, 1981, 25, p. 332-334).

   Powdered beryllium, cerium, cerium alloys, thorium, titanium, uranium, and zirconium ignite when heated in mixtures of carbon dioxide and nitrogen (Rhein, R. A., Rept. No. CR-60125, Washington, NASA, 1964)."
"FERROUS METAL BORINGS, SHAVINGS, TURNINGS OR CUTTINGS",BENZENE,Compatible,"NR
-----


*****


Hydrocarbons, Aromatic WITH Metals, Elemental and Powder, Active:

   Alkali and alkali earth metals do not react with benzene, toluene, or xylene in the absence of proton sources (such as water, alcohols, or ammonium salts) (E. M. Kaiser, Synthesis, 1972, (8), p. 391-415; C. B. Wooster, K. L. Godfrey, J. Am. Chem. Soc., 1937, (59), p 596-597).

   Alkali and alkali earth metals dissolved in ammonia can perform stepwise one-electron reductions of polynuclear aromatic hydrocarbons in the presence of proton sources (inc. alcohols, water, or ammonium salts). The reaction produces 1,4-cyclohexadienes (Birch reduction) or cyclohexenes (Benkeser reduction) (A. A. Akhrem, I. G. Reshetova, Y. A. Titov: Birch Reductions of Aromatic Compounds, IFI/Plenum, New York 1972; E. M. Kaiser, Synthesis, 1972, (8), p. 391-415).

"
"FERROUS METAL BORINGS, SHAVINGS, TURNINGS OR CUTTINGS",BROMINE,Incompatible,"E
F
G
R1
R3
T

R1
R3
-----

CO2
NOx
SO2

*****


Metals, Elemental and Powder, Active WITH Oxidizing Agents, Strong:

   Many active metals, especially in powder form, are strong reducing agents, so their interactions with oxidizing agents will generally be vigorous and therefore hazardous. Specific examples follow: 

   Calcium explodes on contact with N2O4 at ambient temperatures (Pascal, P. 1956. Nouveau Traité de Chimie Minérale. Vol. 10, p. 382. Masson et Cie.; Pascal, P. 1958. Nouveau Traité de Chimie Minérale. Vol. 4, p. 291. Masson et Cie.) and reacts explosively with P4O10 if heated (J. W. Mellor, 1940. Mellor’s Comprehensive Treatise on Inorganic and Theoretical Chemistry. Vol. 8, pp. 945. Longmans, Green and Co Ltd.).

   Iron or magnesium ignites if heated in N2O4, and aluminum forms explosive mixtures with N2O4 (J. W. Mellor, 1940. Mellor’s Comprehensive Treatise on Inorganic and Theoretical Chemistry. Vol. 8, pp. 544-545. Longmans, Green and Co Ltd.; J. W. Mellor, 1942. Mellor’s Comprehensive Treatise on Inorganic and Theoretical Chemistry. Vol. 13, pp. 342. Longmans, Green and Co Ltd.; A. D. Kirshenbaum, 1956, Final Report on Fundamental Studies of New Explosive Reactions, Philadelphia, Research Institute of Temple University, pp. 4, 13.).

   Cobalt sensitizes hydrazinium nitrate to explosive decomposition (J. W. Mellor, 1940. Mellor’s Comprehensive Treatise on Inorganic and Theoretical Chemistry. Vol. 8, pp. 327. Longmans, Green and Co Ltd.).

   Aluminum, calcium, iron, magnesium, and other metals ignite violently on contact with ClF3 (Urben, P.G. 1995. Bretherick’s Handbook of Reactive Chemical Hazards, 5th Edition. Oxford: Butterworth-Heinemann. pp. 1237).

   Many metals, including aluminum, barium, chromium, iron, nickel, zinc, titanium, and cobalt ignite on contact with BrF5 (J. W. Mellor, 1940. Mellor’s Comprehensive Treatise on Inorganic and Theoretical Chemistry. Vol. 2, pp. 113-114. Longmans, Green and Co Ltd.; N. V. Sidgwick, 1950, The Chemical Elements and their Compounds, Oxford, Oxford University Press, pp. 1158; J. W. Mellor, 1967. Mellor’s Comprehensive Treatise on Inorganic and Theoretical Chemistry. Vol. 2, Supplement 1, pp. 172. Longmans, Green and Co Ltd.).

   Aluminum ignites on contact with Cl2 at ambient temperatures, and reacts vigorously with bromine (J. W. Mellor, 1946. Mellor’s Comprehensive Treatise on Inorganic and Theoretical Chemistry. Vol. 2, pp. 92, 135. Longmans, Green and Co Ltd.; J. W. Mellor, 1946. Mellor’s Comprehensive Treatise on Inorganic and Theoretical Chemistry. Vol. 5, pp. 209. Longmans, Green and Co Ltd.). It can ignite on contact with iodine if water is present (Jackson, H. 1969. Spectrum 7:82; Azmathulla, S. et al. 1955. Journal of Chemical Education 32:447; 1956. School Science Review 38(134):107; A. D. Kirshenbaum, 1956, Final Report on Fundamental Studies of New Explosive Reactions, Philadelphia, Research Institute of Temple University, pp. 4, 13).

   Calcium (J. W. Mellor, 1941. Mellor’s Comprehensive Treatise on Inorganic and Theoretical Chemistry. Vol. 3, pp. 638. Longmans, Green and Co Ltd.) and magnesium (J. W. Mellor, 1940. Mellor’s Comprehensive Treatise on Inorganic and Theoretical Chemistry. Vol. 4, pp. 267. Longmans, Green and Co Ltd.) ignite on contact with fluorine or chlorine at ambient temperatures, and magnesium can ignite on contact with iodine if water is present (Jackson, H. 1969. Spectrum 7:82).

   Iron ignites in chlorine at ambient temperatures (Urben, P.G. 1995. Bretherick’s Handbook of Reactive Chemical Hazards, 5th Edition. Oxford: Butterworth-Heinemann. pp. 1303; Mellor, J.W. 1967. Mellor’s Modern Inorganic Chemistry, 6th Edition. John Wiley & Sons, Inc. pp. 915).

   Titanium can ignite on contact with dry chlorine (Hanson, B.H. 1975. Process Engineering (2):77).

   Zinc can incandesce in fluorine, and ignites in chlorine or iodine if moisture is present (J. W. Mellor, 1940. Mellor’s Comprehensive Treatise on Inorganic and Theoretical Chemistry. Vol. 4, pp. 476. Longmans, Green and Co Ltd.; Jackson, H. 1969. Spectrum 7:82).

   Titanium reacts explosively with potassium chlorate or potassium permanganate if the mixture is heated (J. W. Mellor, 1941. Mellor’s Comprehensive Treatise on Inorganic and Theoretical Chemistry. Vol. 7, pp. 20. Longmans, Green and Co Ltd.).

   Aluminum forms impact, heat, and friction-sensitive explosive mixtures with bromates, iodates, chlorates, and perchlorates (J. W. Mellor, 1941. Mellor’s Comprehensive Treatise on Inorganic and Theoretical Chemistry. Vol. 2, pp. 310. Longmans, Green and Co Ltd.; J. W. Mellor, 1941. Mellor’s Comprehensive Treatise on Inorganic and Theoretical Chemistry. Vol. 4, pp. 476. Longmans, Green and Co Ltd.; Annikov, V.E. et al. 1976. Chemical Abstracts 85:145389; Anon. 1936. Chemical and Engineering News 14:451).

   Zinc forms explosive mixtures with metal halogenates, including potassium chlorate; the mixtures are heat-, impact-, and friction-sensitive (J. W. Mellor, 1941. Mellor’s Comprehensive Treatise on Inorganic and Theoretical Chemistry. Vol. 2, pp. 310. Longmans, Green and Co Ltd.; J. W. Mellor, 1941. Mellor’s Comprehensive Treatise on Inorganic and Theoretical Chemistry. Vol. 4, pp. 480. Longmans, Green and Co Ltd.). 

   Magnesium forms explosive mixtures with metal halogenates, including potassium chlorate (J. W. Mellor, 1941. Mellor’s Comprehensive Treatise on Inorganic and Theoretical Chemistry. Vol. 2, pp. 310. Longmans, Green and Co Ltd.; Anon. 1936. Chemical and Engineering News 14:451), ammonium chlorate (Kirk-Othmer Encyclopedia of Chemical Technology, 3rd Edition. Volume 19. 1982. John Wiley & Sons, Inc. pp. 494 (Online)), potassium perchlorate (J. C. Schumacher. 1960. Perchlorates, their Properties, Manufacture and Uses. ACS 146, New York, Reinhold, pp. 210), and sodium iodate (Webster, H.A. et al. 1974. Rept. AD-782510/2GA, Springfield (Va.), USNITS).

   Nickel can form friction-sensitive explosive mixtures with potassium perchlorate and diatomaceous earth (J. C. Schumacher. 1960. Perchlorates, their Properties, Manufacture and Uses. ACS 146, New York, Reinhold, pp. 210).

   Iron powder forms a highly exothermic mixture with potassium perchlorate (Munger, A.C. et al. 1973. Chemical Abstracts 98:91917).

   Metals, including aluminum, chromium, iron, magnesium, manganese, cobalt, tin, zinc, and others form explosive mixtures with ammonium nitrate, and can react explosively under 200C (J. W. Mellor, 1946. Mellor’s Comprehensive Treatise on Inorganic and Theoretical Chemistry. Vol. 5, pp. 219. Longmans, Green and Co Ltd.; J. W. Mellor, 1964. Mellor’s Comprehensive Treatise on Inorganic and Theoretical Chemistry. Vol. 8, Supplement 1, pp. 543-546. Longmans, Green and Co Ltd.).

   Zinc can ignite in contact with ammonium salts, including nitrate and chloride, if water is present (G. Sorbe, 1968, Giftige und Explosive Substanzen, Frankfurt, Umschau Verlag, pp. 158; Hanson, R.M. 1976. Journal of Chemical Education 53:578).

   The mixture of titanium and AgNO3 or KNO3 is powerfully explosive and sensitive to heat, impact, and friction (Shanley, E.S. 1990. Chemical and Engineering News 68(16):2; J. W. Mellor, 1941. Mellor’s Comprehensive Treatise on Inorganic and Theoretical Chemistry. Vol. 7, pp. 20. Longmans, Green and Co Ltd.).

   Magnesium can react violently or explosively with inorganic nitrates (J. W. Mellor, 1940. Mellor’s Comprehensive Treatise on Inorganic and Theoretical Chemistry. Vol. 4, pp. 272. Longmans, Green and Co Ltd.; J. W. Mellor, 1967. Mellor’s Comprehensive Treatise on Inorganic and Theoretical Chemistry. Vol. 8, Supplement 2.1, pp. 545. Longmans, Green and Co Ltd.), and ignites on contact with moist silver nitrate (H. Ellern, 1968, Military and Civilian Pyrotechnics, New York, Chemical Publishing Co., pp. 46). 

   Aluminum forms explosive mixtures with sodium nitrate (Anon. 1935. Fire 28, 30) and other nitrate solutions (Annikov, V.E. et al. 1976. Chemical Abstracts 85:145389). 

   Iron forms pyrotechnic mixtures with potassium dichromate (Laye, P.G. et al. 1980. Thermochimica Acta 39:3567-359).

   Aluminum forms intensely flammable mixtures with zinc peroxide (N. V. Sidgwick, 1950, The Chemical Elements and their Compounds, Oxford, Oxford University Press, pp. 270).

   Iron catalyzes exothermic decomposition of hydrogen peroxide (J. W. Mellor, 1939. Mellor’s Comprehensive Treatise on Inorganic and Theoretical Chemistry. Vol. 1, pp. 936-944. Longmans, Green and Co Ltd.).

   Zinc is incandescently oxidized by KO2 (potassium superoxide) (J. W. Mellor, 1941. Mellor’s Comprehensive Treatise on Inorganic and Theoretical Chemistry. Vol. 2, pp. 493. Longmans, Green and Co Ltd.).

   Aluminum forms an explosive mixture with liquid oxygen (A. D. Kirshenbaum, 1956, Final Report on Fundamental Studies of New Explosive Reactions, Philadelphia, Research Institute of Temple University, pp. 4, 13).

   Iron, aluminum, nickel, titanium, and zinc react incandescently with nitryl fluoride if slightly warmed (Aynsley, E.E. et al. 1954. Journal of the Chemical Society, p. 1122).

   Titanium reacts violently with CuO, PbO, and PbO2 (J. W. Mellor, 1961. Mellor’s Comprehensive Treatise on Inorganic and Theoretical Chemistry. Vol. 7, pp. 20. Longmans, Green and Co Ltd.).

   Magnesium reacts violently with PbO2 (J. W. Mellor, 1940. Mellor’s Comprehensive Treatise on Inorganic and Theoretical Chemistry. Vol. 4, pp. 272. Longmans, Green and Co Ltd.).

   Powdered aluminum and magnesium ignite when mixed with oxidants such as barium peroxide, barium nitrate, potassium chlorate, or silica powder (J. R. Partington, 1967, General and Inorganic Chemistry, London, MacMillan, 4th ed., p. 364; Pascal, P. 1958. Nouveau Traité de Chimie Minérale. Vol. 4, p. 775. Masson et Cie.).

   Titanium incandesces on contact with BrF3 (	J. W. Mellor, 1941. Mellor’s Comprehensive Treatise on Inorganic and Theoretical Chemistry. Vol. 2, pp. 113. Longmans, Green and Co Ltd.; J. W. Mellor, 1967. Mellor’s Comprehensive Treatise on Inorganic and Theoretical Chemistry. Vol. 2, Supplement 1, pp. 164. Longmans, Green and Co Ltd.).

   Active metals may cause inorganic oxidizing agents to liberate toxic and flammable H2S and NH3, toxic NOx, SO2, and inert CO2 gases (Predicted).

Metals, Elemental and Powder, Active WITH Halogenating Agents:

   Aluminum, calcium, iron, magnesium, and other metals ignite violently on contact with ClF3 (Urben, P.G. 1995. Bretherick’s Handbook of Reactive Chemical Hazards, 5th Edition. Oxford: Butterworth-Heinemann. pp. 1237). 

   Many metals, including aluminum (J. W. Mellor, 1940. Mellor’s Comprehensive Treatise on Inorganic and Theoretical Chemistry. Vol. 2, pp. 113-114. Longmans, Green and Co Ltd.), cobalt (J. W. Mellor, 1956. Mellor’s Comprehensive Treatise on Inorganic and Theoretical Chemistry. Vol. 2, Supplement 1, pp. 172. Longmans, Green and Co Ltd.), titanium (J. W. Mellor, 1967. Mellor’s Comprehensive Treatise on Inorganic and Theoretical Chemistry. Vol. 2, Supplement 1, pp. 165-167. Longmans, Green and Co Ltd.), barium, chromium, iron, nickel, and zinc ignite on contact with BrF5 (N. V. Sidgwick, 1950, The Chemical Elements and their Compounds, Oxford, Oxford University Press, pp. 1158). 

   Titanium incandesces on contact with BrF3 (J. W. Mellor, 1941. Mellor’s Comprehensive Treatise on Inorganic and Theoretical Chemistry. Vol. 2, pp. 113. Longmans, Green and Co Ltd.; J. W. Mellor, 1967. Mellor’s Comprehensive Treatise on Inorganic and Theoretical Chemistry. Vol. 2, Supplement 1, pp. 164. Longmans, Green and Co Ltd.).

   Aluminum ignites on contact with Cl2 at ambient temperatures, and reacts vigorously with bromine (J. W. Mellor, 1946. Mellor’s Comprehensive Treatise on Inorganic and Theoretical Chemistry. Vol. 2, pp. 92, 135. Longmans, Green and Co Ltd.; J. W. Mellor, 1946. Mellor’s Comprehensive Treatise on Inorganic and Theoretical Chemistry. Vol. 5, pp. 209. Longmans, Green and Co Ltd.). It can ignite on contact with iodine if water is present (Jackson, H. 1969. Spectrum 7:82; Azmathulla, S. et al. 1955. Journal of Chemical Education 32:447; 1956. School Science Review 38(134):107; A. D. Kirshenbaum, 1956, Final Report on Fundamental Studies of New Explosive Reactions, Philadelphia, Research Institute of Temple University, pp. 4, 13).

   Calcium (J. W. Mellor, 1941. Mellor’s Comprehensive Treatise on Inorganic and Theoretical Chemistry. Vol. 3, pp. 638. Longmans, Green and Co Ltd.) and magnesium (J. W. Mellor, 1940. Mellor’s Comprehensive Treatise on Inorganic and Theoretical Chemistry. Vol. 4, pp. 267. Longmans, Green and Co Ltd.) ignite on contact with fluorine or chlorine at ambient temperatures, and magnesium can ignite on contact with iodine if water is present (Jackson, H. 1969. Spectrum 7:82).

   Iron ignites in chlorine at ambient temperatures (Urben, P.G. 1995. Bretherick’s Handbook of Reactive Chemical Hazards, 5th Edition. Oxford: Butterworth-Heinemann. pp. 1303; Mellor, J.W. 1967. Mellor’s Modern Inorganic Chemistry, 6th Edition. John Wiley & Sons, Inc. pp. 915).

   Titanium can ignite on contact with dry chlorine (Hanson, B.H. 1975. Process Engineering (2):77).

   Zinc can incandesce in fluorine, and ignites in chlorine or iodine if moisture is present (J. W. Mellor, 1940. Mellor’s Comprehensive Treatise on Inorganic and Theoretical Chemistry. Vol. 4, pp. 476. Longmans, Green and Co Ltd.; Jackson, H. 1969. Spectrum 7:82).

   Zinc ignites on contact with seleninyl bromide (J. W. Mellor, 1947. Mellor’s Comprehensive Treatise on Inorganic and Theoretical Chemistry. Vol. 10, pp. 912. Longmans, Green and Co Ltd.).

   Br2S2 reacts violently with aluminum powder (Pascal, P. 1960. Nouveau Traité de Chimie Minérale. Vol. 13, Part 2, p. 1162. Masson et Cie.)."
"FERROUS METAL BORINGS, SHAVINGS, TURNINGS OR CUTTINGS",CALCIUM CARBONATE,Incompatible,"R1
R3
-----


*****


Metals, Elemental and Powder, Active WITH Carbonate Salts:

   Calcium can react explosively with alkali-metal carbonates (The Merck Index, 1983, Rahway (NJ), Merck and Co Inc., 10th ed., p. 227).

   Magnesium reacts violently with alkali metal carbonates (Pieters, H. A. J. and Creyghton, J. W., 1957, Safety in the Chemical Laboratory, London, Academic Press, 2nd ed., pp. 30).

   Titanium can react incandescently or explosively with metal carbonates (J. W. Mellor, 1941. Mellor’s Comprehensive Treatise on Inorganic and Theoretical Chemistry. Vol. 7, pp. 19. Longmans, Green and Co Ltd.). "
