Substance 1,Substance 2,Result
CELLULOSE,"2,4,5-TRICHLOROPHENOXYACETIC ACID",N
CELLULOSE,ALUMINUM FERROSILICON POWDER,N
CELLULOSE,"ALUMINUM POWDER, UNCOATED",N
CELLULOSE,"ALUMINUM SULFATE, SOLID",N
CELLULOSE,AMMONIUM LAURYL SULFATE,N
CELLULOSE,"ASBESTOS, WHITE",Y
CELLULOSE,BARIUM SULFATE,Y
CELLULOSE,BENZALDEHYDE,C
CELLULOSE,BENZENE,Y
CELLULOSE,CADMIUM SULFATE,N
CELLULOSE,CALCIUM CHROMATE,N
CELLULOSE,CELLULOSE,X
COPPER AND LEAD SULFIDE,1-BUTENE,Y
COPPER AND LEAD SULFIDE,2-CHLORO-P-PHENYLENEDIAMINE SULFATE,N
COPPER AND LEAD SULFIDE,"2,4-D SODIUM SALT",N
COPPER AND LEAD SULFIDE,"2,4-DICHLOROPHENOXYACETIC ACID",N
COPPER AND LEAD SULFIDE,"2,4,5-TRICHLOROPHENOXYACETIC ACID",N
COPPER AND LEAD SULFIDE,ALUMINUM FERROSILICON POWDER,N
COPPER AND LEAD SULFIDE,"ALUMINUM POWDER, UNCOATED",N
COPPER AND LEAD SULFIDE,"ALUMINUM SULFATE, SOLID",N
COPPER AND LEAD SULFIDE,AMMONIUM LAURYL SULFATE,N
COPPER AND LEAD SULFIDE,"ASBESTOS, WHITE",Y
COPPER AND LEAD SULFIDE,BARIUM SULFATE,Y
COPPER AND LEAD SULFIDE,BENZALDEHYDE,N
COPPER AND LEAD SULFIDE,BENZENE,Y
COPPER AND LEAD SULFIDE,CADMIUM SULFATE,N
COPPER AND LEAD SULFIDE,CALCIUM CHROMATE,N
COPPER AND LEAD SULFIDE,CELLULOSE,C
COPPER AND LEAD SULFIDE,COPPER AND LEAD SULFIDE,X
DIMETHYLCHLOROSILANE,1-BUTENE,Y
DIMETHYLCHLOROSILANE,2-CHLORO-P-PHENYLENEDIAMINE SULFATE,C
DIMETHYLCHLOROSILANE,"2,4-D SODIUM SALT",N
DIMETHYLCHLOROSILANE,"2,4-DICHLOROPHENOXYACETIC ACID",N
DIMETHYLCHLOROSILANE,"2,4,5-TRICHLOROPHENOXYACETIC ACID",N
DIMETHYLCHLOROSILANE,ALUMINUM FERROSILICON POWDER,C
DIMETHYLCHLOROSILANE,"ALUMINUM POWDER, UNCOATED",C
DIMETHYLCHLOROSILANE,"ALUMINUM SULFATE, SOLID",C
DIMETHYLCHLOROSILANE,AMMONIUM LAURYL SULFATE,C
DIMETHYLCHLOROSILANE,"ASBESTOS, WHITE",Y
DIMETHYLCHLOROSILANE,BARIUM SULFATE,C
DIMETHYLCHLOROSILANE,BENZALDEHYDE,N
DIMETHYLCHLOROSILANE,BENZENE,Y
DIMETHYLCHLOROSILANE,CADMIUM SULFATE,C
DIMETHYLCHLOROSILANE,CALCIUM CHROMATE,N
DIMETHYLCHLOROSILANE,CELLULOSE,N
DIMETHYLCHLOROSILANE,COPPER AND LEAD SULFIDE,N
DIMETHYLCHLOROSILANE,DIMETHYLCHLOROSILANE,X
ETHYLENE,1-BUTENE,C
ETHYLENE,2-CHLORO-P-PHENYLENEDIAMINE SULFATE,C
ETHYLENE,"2,4-D SODIUM SALT",N
ETHYLENE,"2,4-DICHLOROPHENOXYACETIC ACID",C
ETHYLENE,"2,4,5-TRICHLOROPHENOXYACETIC ACID",C
ETHYLENE,ALUMINUM FERROSILICON POWDER,N
ETHYLENE,"ALUMINUM POWDER, UNCOATED",N
ETHYLENE,"ALUMINUM SULFATE, SOLID",C
ETHYLENE,AMMONIUM LAURYL SULFATE,C
ETHYLENE,"ASBESTOS, WHITE",C
ETHYLENE,BARIUM SULFATE,N
ETHYLENE,BENZALDEHYDE,N
ETHYLENE,BENZENE,Y
ETHYLENE,CADMIUM SULFATE,C
ETHYLENE,CALCIUM CHROMATE,N
ETHYLENE,CELLULOSE,C
ETHYLENE,COPPER AND LEAD SULFIDE,N
ETHYLENE,DIMETHYLCHLOROSILANE,N
ETHYLENE,ETHYLENE,SR
ETHYLENE GLYCOL,1-BUTENE,Y
ETHYLENE GLYCOL,2-CHLORO-P-PHENYLENEDIAMINE SULFATE,Y
ETHYLENE GLYCOL,"2,4-D SODIUM SALT",Y
ETHYLENE GLYCOL,"2,4-DICHLOROPHENOXYACETIC ACID",N
ETHYLENE GLYCOL,"2,4,5-TRICHLOROPHENOXYACETIC ACID",N
ETHYLENE GLYCOL,ALUMINUM FERROSILICON POWDER,N
ETHYLENE GLYCOL,"ALUMINUM POWDER, UNCOATED",N
ETHYLENE GLYCOL,"ALUMINUM SULFATE, SOLID",Y
ETHYLENE GLYCOL,AMMONIUM LAURYL SULFATE,Y
ETHYLENE GLYCOL,"ASBESTOS, WHITE",Y
ETHYLENE GLYCOL,BARIUM SULFATE,Y
ETHYLENE GLYCOL,BENZALDEHYDE,C
ETHYLENE GLYCOL,BENZENE,Y
ETHYLENE GLYCOL,CADMIUM SULFATE,Y
ETHYLENE GLYCOL,CALCIUM CHROMATE,N
ETHYLENE GLYCOL,CELLULOSE,Y
ETHYLENE GLYCOL,COPPER AND LEAD SULFIDE,C
ETHYLENE GLYCOL,DIMETHYLCHLOROSILANE,N
ETHYLENE GLYCOL,ETHYLENE,C
ETHYLENE GLYCOL,ETHYLENE GLYCOL,X
"HAFNIUM POWDER, WETTED WITH NOT LESS THAN 25% WATER",1-BUTENE,N
"HAFNIUM POWDER, WETTED WITH NOT LESS THAN 25% WATER",2-CHLORO-P-PHENYLENEDIAMINE SULFATE,N
"HAFNIUM POWDER, WETTED WITH NOT LESS THAN 25% WATER","2,4-D SODIUM SALT",N
"HAFNIUM POWDER, WETTED WITH NOT LESS THAN 25% WATER","2,4-DICHLOROPHENOXYACETIC ACID",N
"HAFNIUM POWDER, WETTED WITH NOT LESS THAN 25% WATER","2,4,5-TRICHLOROPHENOXYACETIC ACID",N
"HAFNIUM POWDER, WETTED WITH NOT LESS THAN 25% WATER",ALUMINUM FERROSILICON POWDER,N
"HAFNIUM POWDER, WETTED WITH NOT LESS THAN 25% WATER","ALUMINUM POWDER, UNCOATED",N
"HAFNIUM POWDER, WETTED WITH NOT LESS THAN 25% WATER","ALUMINUM SULFATE, SOLID",N
"HAFNIUM POWDER, WETTED WITH NOT LESS THAN 25% WATER",AMMONIUM LAURYL SULFATE,N
"HAFNIUM POWDER, WETTED WITH NOT LESS THAN 25% WATER","ASBESTOS, WHITE",C
"HAFNIUM POWDER, WETTED WITH NOT LESS THAN 25% WATER",BARIUM SULFATE,N
"HAFNIUM POWDER, WETTED WITH NOT LESS THAN 25% WATER",BENZALDEHYDE,N
"HAFNIUM POWDER, WETTED WITH NOT LESS THAN 25% WATER",BENZENE,Y
"HAFNIUM POWDER, WETTED WITH NOT LESS THAN 25% WATER",CADMIUM SULFATE,N
"HAFNIUM POWDER, WETTED WITH NOT LESS THAN 25% WATER",CALCIUM CHROMATE,N
"HAFNIUM POWDER, WETTED WITH NOT LESS THAN 25% WATER",CELLULOSE,N
"HAFNIUM POWDER, WETTED WITH NOT LESS THAN 25% WATER",COPPER AND LEAD SULFIDE,N
"HAFNIUM POWDER, WETTED WITH NOT LESS THAN 25% WATER",DIMETHYLCHLOROSILANE,N
"HAFNIUM POWDER, WETTED WITH NOT LESS THAN 25% WATER",ETHYLENE,N
"HAFNIUM POWDER, WETTED WITH NOT LESS THAN 25% WATER",ETHYLENE GLYCOL,N
"HAFNIUM POWDER, WETTED WITH NOT LESS THAN 25% WATER","HAFNIUM POWDER, WETTED WITH NOT LESS THAN 25% WATER",X
"IRON, [POWDERED]",1-BUTENE,N
"IRON, [POWDERED]",2-CHLORO-P-PHENYLENEDIAMINE SULFATE,N
"IRON, [POWDERED]","2,4-D SODIUM SALT",N
"IRON, [POWDERED]","2,4-DICHLOROPHENOXYACETIC ACID",N
"IRON, [POWDERED]","2,4,5-TRICHLOROPHENOXYACETIC ACID",N
"IRON, [POWDERED]",ALUMINUM FERROSILICON POWDER,Y
"IRON, [POWDERED]","ALUMINUM POWDER, UNCOATED",Y
"IRON, [POWDERED]","ALUMINUM SULFATE, SOLID",N
"IRON, [POWDERED]",AMMONIUM LAURYL SULFATE,N
"IRON, [POWDERED]","ASBESTOS, WHITE",C
"IRON, [POWDERED]",BARIUM SULFATE,N
"IRON, [POWDERED]",BENZALDEHYDE,N
"IRON, [POWDERED]",BENZENE,Y
"IRON, [POWDERED]",CADMIUM SULFATE,N
"IRON, [POWDERED]",CALCIUM CHROMATE,N
"IRON, [POWDERED]",CELLULOSE,N
"IRON, [POWDERED]",COPPER AND LEAD SULFIDE,N
"IRON, [POWDERED]",DIMETHYLCHLOROSILANE,C
"IRON, [POWDERED]",ETHYLENE,N
"IRON, [POWDERED]",ETHYLENE GLYCOL,N
"IRON, [POWDERED]","HAFNIUM POWDER, WETTED WITH NOT LESS THAN 25% WATER",N
"IRON, [POWDERED]","IRON, [POWDERED]",X
ISOPROPYL PROPIONATE,1-BUTENE,Y
ISOPROPYL PROPIONATE,2-CHLORO-P-PHENYLENEDIAMINE SULFATE,Y
ISOPROPYL PROPIONATE,"2,4-D SODIUM SALT",C
ISOPROPYL PROPIONATE,"2,4-DICHLOROPHENOXYACETIC ACID",Y
ISOPROPYL PROPIONATE,"2,4,5-TRICHLOROPHENOXYACETIC ACID",Y
ISOPROPYL PROPIONATE,ALUMINUM FERROSILICON POWDER,N
ISOPROPYL PROPIONATE,"ALUMINUM POWDER, UNCOATED",N
ISOPROPYL PROPIONATE,"ALUMINUM SULFATE, SOLID",Y
ISOPROPYL PROPIONATE,AMMONIUM LAURYL SULFATE,Y
ISOPROPYL PROPIONATE,"ASBESTOS, WHITE",Y
ISOPROPYL PROPIONATE,BARIUM SULFATE,C
ISOPROPYL PROPIONATE,BENZALDEHYDE,Y
ISOPROPYL PROPIONATE,BENZENE,Y
ISOPROPYL PROPIONATE,CADMIUM SULFATE,Y
ISOPROPYL PROPIONATE,CALCIUM CHROMATE,N
ISOPROPYL PROPIONATE,CELLULOSE,Y
ISOPROPYL PROPIONATE,COPPER AND LEAD SULFIDE,Y
ISOPROPYL PROPIONATE,DIMETHYLCHLOROSILANE,Y
ISOPROPYL PROPIONATE,ETHYLENE,C
ISOPROPYL PROPIONATE,ETHYLENE GLYCOL,Y
ISOPROPYL PROPIONATE,"HAFNIUM POWDER, WETTED WITH NOT LESS THAN 25% WATER",N
ISOPROPYL PROPIONATE,"IRON, [POWDERED]",N
ISOPROPYL PROPIONATE,ISOPROPYL PROPIONATE,X
LEAD,1-BUTENE,N
LEAD,2-CHLORO-P-PHENYLENEDIAMINE SULFATE,C
LEAD,"2,4-D SODIUM SALT",C
LEAD,"2,4-DICHLOROPHENOXYACETIC ACID",C
LEAD,"2,4,5-TRICHLOROPHENOXYACETIC ACID",C
LEAD,ALUMINUM FERROSILICON POWDER,C
LEAD,"ALUMINUM POWDER, UNCOATED",C
LEAD,"ALUMINUM SULFATE, SOLID",C
LEAD,AMMONIUM LAURYL SULFATE,N
LEAD,"ASBESTOS, WHITE",Y
LEAD,BARIUM SULFATE,Y
LEAD,BENZALDEHYDE,C
LEAD,BENZENE,Y
LEAD,CADMIUM SULFATE,C
LEAD,CALCIUM CHROMATE,N
LEAD,CELLULOSE,Y
LEAD,COPPER AND LEAD SULFIDE,N
LEAD,DIMETHYLCHLOROSILANE,C
LEAD,ETHYLENE,N
LEAD,ETHYLENE GLYCOL,Y
LEAD,"HAFNIUM POWDER, WETTED WITH NOT LESS THAN 25% WATER",C
LEAD,"IRON, [POWDERED]",C
LEAD,ISOPROPYL PROPIONATE,Y
LEAD,LEAD,X
LEAD CHROMATE,1-BUTENE,N
LEAD CHROMATE,2-CHLORO-P-PHENYLENEDIAMINE SULFATE,N
LEAD CHROMATE,"2,4-D SODIUM SALT",N
LEAD CHROMATE,"2,4-DICHLOROPHENOXYACETIC ACID",N
LEAD CHROMATE,"2,4,5-TRICHLOROPHENOXYACETIC ACID",N
LEAD CHROMATE,ALUMINUM FERROSILICON POWDER,N
LEAD CHROMATE,"ALUMINUM POWDER, UNCOATED",N
LEAD CHROMATE,"ALUMINUM SULFATE, SOLID",N
LEAD CHROMATE,AMMONIUM LAURYL SULFATE,N
LEAD CHROMATE,"ASBESTOS, WHITE",Y
LEAD CHROMATE,BARIUM SULFATE,N
LEAD CHROMATE,BENZALDEHYDE,N
LEAD CHROMATE,BENZENE,N
LEAD CHROMATE,CADMIUM SULFATE,N
LEAD CHROMATE,CALCIUM CHROMATE,N
LEAD CHROMATE,CELLULOSE,N
LEAD CHROMATE,COPPER AND LEAD SULFIDE,N
LEAD CHROMATE,DIMETHYLCHLOROSILANE,N
LEAD CHROMATE,ETHYLENE,N
LEAD CHROMATE,ETHYLENE GLYCOL,N
LEAD CHROMATE,"HAFNIUM POWDER, WETTED WITH NOT LESS THAN 25% WATER",N
LEAD CHROMATE,"IRON, [POWDERED]",N
LEAD CHROMATE,ISOPROPYL PROPIONATE,N
LEAD CHROMATE,LEAD,N
LEAD CHROMATE,LEAD CHROMATE,X
LEAD DIMETHYLDITHIOCARBAMATE,1-BUTENE,N
LEAD DIMETHYLDITHIOCARBAMATE,2-CHLORO-P-PHENYLENEDIAMINE SULFATE,C
LEAD DIMETHYLDITHIOCARBAMATE,"2,4-D SODIUM SALT",N
LEAD DIMETHYLDITHIOCARBAMATE,"2,4-DICHLOROPHENOXYACETIC ACID",N
LEAD DIMETHYLDITHIOCARBAMATE,"2,4,5-TRICHLOROPHENOXYACETIC ACID",N
LEAD DIMETHYLDITHIOCARBAMATE,ALUMINUM FERROSILICON POWDER,N
LEAD DIMETHYLDITHIOCARBAMATE,"ALUMINUM POWDER, UNCOATED",N
LEAD DIMETHYLDITHIOCARBAMATE,"ALUMINUM SULFATE, SOLID",C
LEAD DIMETHYLDITHIOCARBAMATE,AMMONIUM LAURYL SULFATE,N
LEAD DIMETHYLDITHIOCARBAMATE,"ASBESTOS, WHITE",Y
LEAD DIMETHYLDITHIOCARBAMATE,BARIUM SULFATE,C
LEAD DIMETHYLDITHIOCARBAMATE,BENZALDEHYDE,C
LEAD DIMETHYLDITHIOCARBAMATE,BENZENE,C
LEAD DIMETHYLDITHIOCARBAMATE,CADMIUM SULFATE,C
LEAD DIMETHYLDITHIOCARBAMATE,CALCIUM CHROMATE,N
LEAD DIMETHYLDITHIOCARBAMATE,CELLULOSE,N
LEAD DIMETHYLDITHIOCARBAMATE,COPPER AND LEAD SULFIDE,C
LEAD DIMETHYLDITHIOCARBAMATE,DIMETHYLCHLOROSILANE,N
LEAD DIMETHYLDITHIOCARBAMATE,ETHYLENE,N
LEAD DIMETHYLDITHIOCARBAMATE,ETHYLENE GLYCOL,N
LEAD DIMETHYLDITHIOCARBAMATE,"HAFNIUM POWDER, WETTED WITH NOT LESS THAN 25% WATER",N
LEAD DIMETHYLDITHIOCARBAMATE,"IRON, [POWDERED]",N
LEAD DIMETHYLDITHIOCARBAMATE,ISOPROPYL PROPIONATE,Y
LEAD DIMETHYLDITHIOCARBAMATE,LEAD,N
LEAD DIMETHYLDITHIOCARBAMATE,LEAD CHROMATE,N
LEAD DIMETHYLDITHIOCARBAMATE,LEAD DIMETHYLDITHIOCARBAMATE,X
MAGNESIUM,1-BUTENE,N
MAGNESIUM,2-CHLORO-P-PHENYLENEDIAMINE SULFATE,N
MAGNESIUM,"2,4-D SODIUM SALT",N
MAGNESIUM,"2,4-DICHLOROPHENOXYACETIC ACID",N
MAGNESIUM,"2,4,5-TRICHLOROPHENOXYACETIC ACID",N
MAGNESIUM,ALUMINUM FERROSILICON POWDER,Y
MAGNESIUM,"ALUMINUM POWDER, UNCOATED",Y
MAGNESIUM,"ALUMINUM SULFATE, SOLID",N
MAGNESIUM,AMMONIUM LAURYL SULFATE,N
MAGNESIUM,"ASBESTOS, WHITE",C
MAGNESIUM,BARIUM SULFATE,N
MAGNESIUM,BENZALDEHYDE,N
MAGNESIUM,BENZENE,Y
MAGNESIUM,CADMIUM SULFATE,N
MAGNESIUM,CALCIUM CHROMATE,N
MAGNESIUM,CELLULOSE,N
MAGNESIUM,COPPER AND LEAD SULFIDE,N
MAGNESIUM,DIMETHYLCHLOROSILANE,C
MAGNESIUM,ETHYLENE,N
MAGNESIUM,ETHYLENE GLYCOL,N
MAGNESIUM,"HAFNIUM POWDER, WETTED WITH NOT LESS THAN 25% WATER",N
MAGNESIUM,"IRON, [POWDERED]",Y
MAGNESIUM,ISOPROPYL PROPIONATE,N
MAGNESIUM,LEAD,C
MAGNESIUM,LEAD CHROMATE,N
MAGNESIUM,LEAD DIMETHYLDITHIOCARBAMATE,N
MAGNESIUM,MAGNESIUM,X
MAGNESIUM OXIDE,1-BUTENE,Y
MAGNESIUM OXIDE,2-CHLORO-P-PHENYLENEDIAMINE SULFATE,N
MAGNESIUM OXIDE,"2,4-D SODIUM SALT",Y
MAGNESIUM OXIDE,"2,4-DICHLOROPHENOXYACETIC ACID",C
MAGNESIUM OXIDE,"2,4,5-TRICHLOROPHENOXYACETIC ACID",C
MAGNESIUM OXIDE,ALUMINUM FERROSILICON POWDER,N
MAGNESIUM OXIDE,"ALUMINUM POWDER, UNCOATED",N
MAGNESIUM OXIDE,"ALUMINUM SULFATE, SOLID",N
MAGNESIUM OXIDE,AMMONIUM LAURYL SULFATE,N
MAGNESIUM OXIDE,"ASBESTOS, WHITE",Y
MAGNESIUM OXIDE,BARIUM SULFATE,Y
MAGNESIUM OXIDE,BENZALDEHYDE,N
MAGNESIUM OXIDE,BENZENE,Y
MAGNESIUM OXIDE,CADMIUM SULFATE,N
MAGNESIUM OXIDE,CALCIUM CHROMATE,N
MAGNESIUM OXIDE,CELLULOSE,Y
MAGNESIUM OXIDE,COPPER AND LEAD SULFIDE,Y
MAGNESIUM OXIDE,DIMETHYLCHLOROSILANE,C
MAGNESIUM OXIDE,ETHYLENE,N
MAGNESIUM OXIDE,ETHYLENE GLYCOL,Y
MAGNESIUM OXIDE,"HAFNIUM POWDER, WETTED WITH NOT LESS THAN 25% WATER",N
MAGNESIUM OXIDE,"IRON, [POWDERED]",N
MAGNESIUM OXIDE,ISOPROPYL PROPIONATE,C
MAGNESIUM OXIDE,LEAD,Y
MAGNESIUM OXIDE,LEAD CHROMATE,N
MAGNESIUM OXIDE,LEAD DIMETHYLDITHIOCARBAMATE,C
MAGNESIUM OXIDE,MAGNESIUM,N
MAGNESIUM OXIDE,MAGNESIUM OXIDE,X
METHANE,1-BUTENE,Y
METHANE,2-CHLORO-P-PHENYLENEDIAMINE SULFATE,Y
METHANE,"2,4-D SODIUM SALT",Y
METHANE,"2,4-DICHLOROPHENOXYACETIC ACID",Y
METHANE,"2,4,5-TRICHLOROPHENOXYACETIC ACID",Y
METHANE,ALUMINUM FERROSILICON POWDER,Y
METHANE,"ALUMINUM POWDER, UNCOATED",Y
METHANE,"ALUMINUM SULFATE, SOLID",Y
METHANE,AMMONIUM LAURYL SULFATE,Y
METHANE,"ASBESTOS, WHITE",Y
METHANE,BARIUM SULFATE,Y
METHANE,BENZALDEHYDE,Y
METHANE,BENZENE,Y
