substance1,substance2,result,reason
ETHANOL,"IRON OXIDE, SPENT",Caution, Generates heat
FERRIC SULFATE,WATER,Caution," Corrosive,Generates gas,Generates heat"
"IRON OXIDE, SPENT",PROPIONALDEHYDE,Incompatible," Generates heat,Intense or explosive reaction,Polymerization hazard,Potentially hazardous"
FERRIC NITRATE,FERRIC SULFATE,Incompatible," Corrosive,Generates gas,Toxic,Unstable when heated"
ETHANOL,FERRIC SULFATE,Compatible, 
FERRIC CHLORIDE,HYDROGEN,Compatible, 
"IRON, [POWDERED]",PROPIONALDEHYDE,Incompatible," Flammable,Generates heat,Intense or explosive reaction,Polymerization hazard"
ALUMINUM ALKYL HYDRIDES,FERRIC SULFATE,Incompatible," Corrosive,Flammable,Generates gas,Generates heat,Intense or explosive reaction"
FERRIC CHLORIDE,"IRON OXIDE, SPENT",Incompatible," Flammable,Generates gas,Generates heat,Intense or explosive reaction,Toxic"
FERRIC CHLORIDE,METHANE,Compatible, 
HYDROGEN,"IRON OXIDE, SPENT",Compatible, 
"CARBON, ACTIVATED",FERRIC NITRATE,Compatible, 
ALUMINUM ALKYL HYDRIDES,"IRON, [POWDERED]",Incompatible," Flammable,Generates gas,Generates heat,Intense or explosive reaction"
"CARBON, ACTIVATED",HYDROGEN,Compatible, 
ETHANOL,FERRIC NITRATE,Incompatible," Explosive,Generates heat,Intense or explosive reaction"
ALUMINUM ALKYL HYDRIDES,HYDROGEN,Incompatible," Flammable,Generates gas,Generates heat,Intense or explosive reaction,Unstable when heated"
FERRIC NITRATE,"IRON OXIDE, SPENT",Incompatible," Explosive,Generates heat,Intense or explosive reaction"
"AIR, COMPRESSED",FERRIC SULFATE,Compatible, 
"CARBON, ACTIVATED",PROPIONALDEHYDE,Incompatible," Generates gas,Generates heat,Intense or explosive reaction,Polymerization hazard,Potentially hazardous,Unstable when heated"
FERRIC CHLORIDE,WATER,Caution," Corrosive,Generates gas,Generates heat"
FERRIC NITRATE,HYDROGEN,Compatible, 
"CARBON, ACTIVATED",ETHANOL,Caution," Flammable,Generates gas,Potentially hazardous"
"CARBON, ACTIVATED",WATER,Compatible, 
